Date,Category,Response,Deaths
6/11/2020,Hosp,Yes,4108
6/11/2020,Hosp,No,969
6/11/2020,Hosp,Unknown,2415
6/11/2020,Preexist,Yes,3519
6/11/2020,Preexist,No,62
6/11/2020,Preexist,Unknown,3911
6/12/2020,Sex,Male,3555
6/12/2020,Sex,Female,3982
6/12/2020,Hosp,Yes,4130
6/12/2020,Hosp,No,978
6/12/2020,Hosp,Unknown,2430
6/12/2020,Preexist,Yes,3540
6/12/2020,Preexist,No,63
6/12/2020,Preexist,Unknown,3935
6/13/2020,Sex,Male,3570
6/13/2020,Sex,Female,4005
6/13/2020,Hosp,Yes,4148
6/13/2020,Hosp,No,981
6/13/2020,Hosp,Unknown,2447
6/13/2020,Preexist,Yes,3565
6/13/2020,Preexist,No,62
6/13/2020,Preexist,Unknown,3949
6/14/2020,Sex,Male,3586
6/14/2020,Sex,Female,4037
6/14/2020,Hosp,Yes,4176
6/14/2020,Hosp,No,986
6/14/2020,Hosp,Unknown,2462
6/14/2020,Preexist,Yes,3598
6/14/2020,Preexist,No,62
6/14/2020,Preexist,Unknown,3964
6/15/2020,Sex,Male,3599
6/15/2020,Sex,Female,4047
6/15/2020,Hosp,Yes,4189
6/15/2020,Hosp,No,987
6/15/2020,Hosp,Unknown,2471
6/15/2020,Preexist,Yes,3603
6/15/2020,Preexist,No,62
6/15/2020,Preexist,Unknown,3982
6/16/2020,Sex,Male,3604
6/16/2020,Sex,Female,4060
6/16/2020,Hosp,Yes,4199
6/16/2020,Hosp,No,999
6/16/2020,Hosp,Unknown,2467
6/16/2020,Preexist,Yes,3616
6/16/2020,Preexist,No,62
6/16/2020,Preexist,Unknown,3987
6/17/2020,Sex,Male,3632
6/17/2020,Sex,Female,4101
6/17/2020,Hosp,Yes,4236
6/17/2020,Hosp,No,1009
6/17/2020,Hosp,Unknown,2489
6/17/2020,Preexist,Yes,3643
6/17/2020,Preexist,No,65
6/17/2020,Preexist,Unknown,4026
6/18/2020,Sex,Male,3649
6/18/2020,Sex,Female,4120
6/18/2020,Hosp,Yes,4252
6/18/2020,Hosp,No,1026
6/18/2020,Hosp,Unknown,2492
6/18/2020,Preexist,Yes,3675
6/18/2020,Preexist,No,66
6/18/2020,Preexist,Unknown,4029
6/19/2020,Sex,Male,3662
6/19/2020,Sex,Female,4137
6/19/2020,Hosp,Yes,4267
6/19/2020,Hosp,No,1028
6/19/2020,Hosp,Unknown,2505
6/19/2020,Preexist,Yes,3687
6/19/2020,Preexist,No,66
6/19/2020,Preexist,Unknown,4047
6/20/2020,Sex,Male,3676
6/20/2020,Sex,Female,4151
6/20/2020,Hosp,Yes,4284
6/20/2020,Hosp,No,1033
6/20/2020,Hosp,Unknown,2511
6/20/2020,Preexist,Yes,3705
6/20/2020,Preexist,No,66
6/20/2020,Preexist,Unknown,4057
6/21/2020,Sex,Male,3687
6/21/2020,Sex,Female,4170
6/21/2020,Hosp,Yes,4295
6/21/2020,Hosp,No,1040
6/21/2020,Hosp,Unknown,2523
6/21/2020,Preexist,Yes,3716
6/21/2020,Preexist,No,66
6/21/2020,Preexist,Unknown,4076
6/22/2020,Sex,Male,3695
6/22/2020,Sex,Female,4178
6/22/2020,Hosp,Yes,4302
6/22/2020,Hosp,No,1041
6/22/2020,Hosp,Unknown,2531
6/22/2020,Preexist,Yes,3722
6/22/2020,Preexist,No,66
6/22/2020,Preexist,Unknown,4086
6/23/2020,Sex,Male,3699
6/23/2020,Sex,Female,4190
6/23/2020,Hosp,Yes,4318
6/23/2020,Hosp,No,1048
6/23/2020,Hosp,Unknown,2524
6/23/2020,Preexist,Yes,3742
6/23/2020,Preexist,No,66
6/23/2020,Preexist,Unknown,4082
6/24/2020,Sex,Male,3712
6/24/2020,Sex,Female,4225
6/24/2020,Hosp,Yes,4342
6/24/2020,Hosp,No,1053
6/24/2020,Hosp,Unknown,2543
6/24/2020,Preexist,Yes,3769
6/24/2020,Preexist,No,66
6/24/2020,Preexist,Unknown,4103
6/25/2020,Sex,Male,3720
6/25/2020,Sex,Female,4242
6/25/2020,Hosp,Yes,4354
6/25/2020,Hosp,No,1070
6/25/2020,Hosp,Unknown,2539
6/25/2020,Preexist,Yes,3813
6/25/2020,Preexist,No,67
6/25/2020,Preexist,Unknown,4083
6/26/2020,Sex,Male,3742
6/26/2020,Sex,Female,4269
6/26/2020,Hosp,Yes,4370
6/26/2020,Hosp,No,1083
6/26/2020,Hosp,Unknown,2560
6/26/2020,Preexist,Yes,3834
6/26/2020,Preexist,No,68
6/26/2020,Preexist,Unknown,4111
6/27/2020,Sex,Male,3750
6/27/2020,Sex,Female,4290
6/27/2020,Hosp,Yes,4383
6/27/2020,Hosp,No,1085
6/27/2020,Hosp,Unknown,2573
6/27/2020,Preexist,Yes,3857
6/27/2020,Preexist,No,68
6/27/2020,Preexist,Unknown,4116
6/28/2020,Sex,Male,3760
6/28/2020,Sex,Female,4299
6/28/2020,Hosp,Yes,4388
6/28/2020,Hosp,No,1088
6/28/2020,Hosp,Unknown,2584
6/28/2020,Preexist,Yes,3866
6/28/2020,Preexist,No,69
6/28/2020,Preexist,Unknown,4125
6/29/2020,Sex,Male,3773
6/29/2020,Sex,Female,4321
6/29/2020,Hosp,Yes,4405
6/29/2020,Hosp,No,1103
6/29/2020,Hosp,Unknown,2587
6/29/2020,Preexist,Yes,3881
6/29/2020,Preexist,No,69
6/29/2020,Preexist,Unknown,4145
6/30/2020,Sex,Male,3752
6/30/2020,Sex,Female,4301
6/30/2020,Hosp,Yes,4373
6/30/2020,Hosp,No,1112
6/30/2020,Hosp,Unknown,2569
6/30/2020,Preexist,Yes,3878
6/30/2020,Preexist,No,69
6/30/2020,Preexist,Unknown,4107
